GEOID,NAME,ABBR,year,indicator_id,category,dimension,indicator_label,value_pwd,value_pwod,value_raw,direction,transform,weight,notes,value_transformed,value_winsor,z_score,score_100_unadjusted,score_100
000,United States,USA,2024,rel_score_home,CL,relative,Living at Home: Relative,93.2272772565292,NA,93.2272772565292,higher_better,none,1,NA,93.2272772565292,93.2272772565292,0.12570522573296697,55.0017367426046,55.0017367426046
01,Alabama,AL,2024,rel_score_home,CL,relative,Living at Home: Relative,94.44834126502327,NA,94.44834126502327,higher_better,none,1,NA,94.44834126502327,94.44834126502327,0.8090889113116727,79.07679969807745,79.07679969807745
02,Alaska,AK,2024,rel_score_home,CL,relative,Living at Home: Relative,93.55161212894984,NA,93.55161212894984,higher_better,none,1,NA,93.55161212894984,93.55161212894984,0.3072232779683016,62.06632857525064,62.06632857525064
04,Arizona,AZ,2024,rel_score_home,CL,relative,Living at Home: Relative,94.8501376503997,NA,94.8501376503997,higher_better,none,1,NA,94.8501376503997,94.8501376503997,1.0339592643649784,84.94223963558831,84.94223963558831
05,Arkansas,AR,2024,rel_score_home,CL,relative,Living at Home: Relative,94.98973373058251,NA,94.98973373058251,higher_better,none,1,NA,94.98973373058251,94.98973373058251,1.1120859498655398,86.69494014450197,86.69494014450197
06,California,CA,2024,rel_score_home,CL,relative,Living at Home: Relative,92.65770112711913,NA,92.65770112711913,higher_better,none,1,NA,92.65770112711913,92.65770112711913,-0.1930651514350254,42.34539721445248,42.34539721445248
08,Colorado,CO,2024,rel_score_home,CL,relative,Living at Home: Relative,93.03999916479415,NA,93.03999916479415,higher_better,none,1,NA,93.03999916479415,93.03999916479415,0.02089270839746082,50.83343783940941,50.83343783940941
09,Connecticut,CT,2024,rel_score_home,CL,relative,Living at Home: Relative,91.22856785410544,NA,91.22856785410544,higher_better,none,1,NA,91.22856785410544,91.22856785410544,-0.9928973932351479,16.037998013626943,16.037998013626943
10,Delaware,DE,2024,rel_score_home,CL,relative,Living at Home: Relative,94.65600325569817,NA,94.65600325569817,higher_better,none,1,NA,94.65600325569817,94.65600325569817,0.9253095316516659,82.25975389488175,82.25975389488175
11,District of Columbia,DC,2024,rel_score_home,CL,relative,Living at Home: Relative,89.29249636252004,NA,89.29249636252004,higher_better,none,1,NA,89.29249636252004,89.29249636252004,-2.076443924997424,1.8926456147821613,1.8926456147821613
12,Florida,FL,2024,rel_score_home,CL,relative,Living at Home: Relative,93.83130178467904,NA,93.83130178467904,higher_better,none,1,NA,93.83130178467904,93.83130178467904,0.46375507844793934,67.85883845216215,67.85883845216215
13,Georgia,GA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.60674137219534,NA,94.60674137219534,higher_better,none,1,NA,94.60674137219534,94.60674137219534,0.8977395047959679,81.53377784761761,81.53377784761761
15,Hawaii,HI,2024,rel_score_home,CL,relative,Living at Home: Relative,93.0966776497088,NA,93.0966776497088,higher_better,none,1,NA,93.0966776497088,93.0966776497088,0.05261352863665059,52.09800811959527,52.09800811959527
16,Idaho,ID,2024,rel_score_home,CL,relative,Living at Home: Relative,94.03616653878524,NA,94.03616653878524,higher_better,none,1,NA,94.03616653878524,94.03616653878524,0.5784101904915175,71.8506392226755,71.8506392226755
17,Illinois,IL,2024,rel_score_home,CL,relative,Living at Home: Relative,92.33401663923912,NA,92.33401663923912,higher_better,none,1,NA,92.33401663923912,92.33401663923912,-0.37421920785905916,35.41206173423533,35.41206173423533
18,Indiana,IN,2024,rel_score_home,CL,relative,Living at Home: Relative,93.1529762623374,NA,93.1529762623374,higher_better,none,1,NA,93.1529762623374,93.1529762623374,0.08412174861813708,53.35201834834253,53.35201834834253
19,Iowa,IA,2024,rel_score_home,CL,relative,Living at Home: Relative,90.5347821549219,NA,90.5347821549219,higher_better,none,1,NA,90.5347821549219,90.5347821549219,-1.3811832036527165,8.361131891228226,8.361131891228226
20,Kansas,KS,2024,rel_score_home,CL,relative,Living at Home: Relative,91.04185826373188,NA,91.04185826373188,higher_better,none,1,NA,91.04185826373188,91.04185826373188,-1.097391741700738,13.623509095756614,13.623509095756614
21,Kentucky,KY,2024,rel_score_home,CL,relative,Living at Home: Relative,94.42442768882876,NA,94.42442768882876,higher_better,none,1,NA,94.42442768882876,94.42442768882876,0.7957053804553906,78.68983505964832,78.68983505964832
22,Louisiana,LA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.194572598965,NA,94.194572598965,higher_better,none,1,NA,94.194572598965,94.194572598965,0.6670641156507331,74.76344099158688,74.76344099158688
